[2026-01-10T00:56:57.419+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-10T00:56:57.570+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio manual__2026-01-10T00:56:43.069804+00:00 [queued]>
[2026-01-10T00:56:57.597+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio manual__2026-01-10T00:56:43.069804+00:00 [queued]>
[2026-01-10T00:56:57.600+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-10T00:56:57.638+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-01-10 00:56:43.069804+00:00
[2026-01-10T00:56:57.686+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'manual__2026-01-10T00:56:43.069804+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp8f6ujdls']
[2026-01-10T00:56:57.702+0000] {standard_task_runner.py:91} INFO - Job 3: Subtask download_minio
[2026-01-10T00:56:57.703+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=344) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-10T00:56:57.706+0000] {standard_task_runner.py:64} INFO - Started process 371 to run task
[2026-01-10T00:56:57.913+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio manual__2026-01-10T00:56:43.069804+00:00 [running]> on host ec4c21923cef
[2026-01-10T00:56:58.486+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-01-10T00:56:43.069804+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-10T00:56:43.069804+00:00'
[2026-01-10T00:56:58.489+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-10T00:56:59.482+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994102.json -> /tmp/minio_downloads/1767994102.json
[2026-01-10T00:56:59.518+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994114.json -> /tmp/minio_downloads/1767994114.json
[2026-01-10T00:56:59.549+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994127.json -> /tmp/minio_downloads/1767994127.json
[2026-01-10T00:56:59.584+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994138.json -> /tmp/minio_downloads/1767994138.json
[2026-01-10T00:56:59.608+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994149.json -> /tmp/minio_downloads/1767994149.json
[2026-01-10T00:56:59.637+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994160.json -> /tmp/minio_downloads/1767994160.json
[2026-01-10T00:56:59.669+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994171.json -> /tmp/minio_downloads/1767994171.json
[2026-01-10T00:56:59.696+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994189.json -> /tmp/minio_downloads/1767994189.json
[2026-01-10T00:56:59.724+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994201.json -> /tmp/minio_downloads/1767994201.json
[2026-01-10T00:56:59.745+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994212.json -> /tmp/minio_downloads/1767994212.json
[2026-01-10T00:56:59.773+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994225.json -> /tmp/minio_downloads/1767994225.json
[2026-01-10T00:56:59.807+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994235.json -> /tmp/minio_downloads/1767994235.json
[2026-01-10T00:56:59.828+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994246.json -> /tmp/minio_downloads/1767994246.json
[2026-01-10T00:56:59.847+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994258.json -> /tmp/minio_downloads/1767994258.json
[2026-01-10T00:56:59.886+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994270.json -> /tmp/minio_downloads/1767994270.json
[2026-01-10T00:56:59.919+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994281.json -> /tmp/minio_downloads/1767994281.json
[2026-01-10T00:56:59.954+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767997418.json -> /tmp/minio_downloads/1767997418.json
[2026-01-10T00:56:59.988+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767997428.json -> /tmp/minio_downloads/1767997428.json
[2026-01-10T00:57:00.042+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767997440.json -> /tmp/minio_downloads/1767997440.json
[2026-01-10T00:57:00.069+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767997450.json -> /tmp/minio_downloads/1767997450.json
[2026-01-10T00:57:00.092+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767997461.json -> /tmp/minio_downloads/1767997461.json
[2026-01-10T00:57:00.114+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767997471.json -> /tmp/minio_downloads/1767997471.json
[2026-01-10T00:57:00.146+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767997482.json -> /tmp/minio_downloads/1767997482.json
[2026-01-10T00:57:00.168+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767997492.json -> /tmp/minio_downloads/1767997492.json
