[2026-01-10T01:15:06.440+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-10T01:15:06.660+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio manual__2026-01-10T01:14:39.107169+00:00 [queued]>
[2026-01-10T01:15:06.705+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio manual__2026-01-10T01:14:39.107169+00:00 [queued]>
[2026-01-10T01:15:06.709+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-10T01:15:06.754+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-01-10 01:14:39.107169+00:00
[2026-01-10T01:15:06.797+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=14555) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-10T01:15:06.802+0000] {standard_task_runner.py:64} INFO - Started process 15230 to run task
[2026-01-10T01:15:06.800+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'manual__2026-01-10T01:14:39.107169+00:00', '--job-id', '49', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpk3ln4pex']
[2026-01-10T01:15:06.813+0000] {standard_task_runner.py:91} INFO - Job 49: Subtask download_minio
[2026-01-10T01:15:07.218+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio manual__2026-01-10T01:14:39.107169+00:00 [running]> on host ec4c21923cef
[2026-01-10T01:15:07.613+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-01-10T01:14:39.107169+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-10T01:14:39.107169+00:00'
[2026-01-10T01:15:07.616+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-10T01:15:09.204+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994102.json -> /tmp/minio_downloads/1767994102.json
[2026-01-10T01:15:09.230+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994114.json -> /tmp/minio_downloads/1767994114.json
[2026-01-10T01:15:09.257+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994127.json -> /tmp/minio_downloads/1767994127.json
[2026-01-10T01:15:09.278+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994138.json -> /tmp/minio_downloads/1767994138.json
[2026-01-10T01:15:09.305+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1767994149.json -> /tmp/minio_downloads/1767994149.json
